Rows & Cols, Channels, Filters, Memory Usage,,WS-1-ex, WS-(MAC/CYCLE),IM2COL-IC-1EX ,IM2C IC  (MAC/CYCLE), IM2C OC 1 EX, IM2C OC  (MAC/CYCLE), CONV OC 1 EX, CONV OC  (MAC/CYCLE)
16, 19, 27, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 19, 28, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 19, 29, 60kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 19, 30, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 19, 31, 63kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 19, 32, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 19, 48, 87kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 19, 64, 110kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 19, 80, 133kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 19, 96, 156kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 19, 112, 179kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 19, 128, 202kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 19, 144, 225kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 20, 16, 43kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 20, 17, 44kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 18, 46kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 19, 47kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 20, 49kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 21, 50kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 22, 52kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 23, 53kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 24, 55kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 25, 56kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 26, 58kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 27, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 28, 61kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 29, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 30, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 31, 65kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 32, 67kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 20, 48, 90kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 20, 64, 114kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 20, 80, 137kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 20, 96, 161kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 20, 112, 184kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 20, 128, 208kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 20, 144, 231kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 21, 16, 45kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 21, 17, 46kB, ,2871, ,1444 , ,12639, ,13717, ,
