Rows & Cols, Channels, Filters, Memory Usage,,WS-1-ex, WS-(MAC/CYCLE),IM2COL-IC-1EX ,IM2C IC  (MAC/CYCLE), IM2C OC 1 EX, IM2C OC  (MAC/CYCLE), CONV OC 1 EX, CONV OC  (MAC/CYCLE)
20, 48, 64, 264kB, ,4665, ,2181 , ,25235, ,27390, ,
20, 48, 80, 311kB, ,4665, ,2181 , ,31528, ,34229, ,
20, 48, 96, 358kB, ,4665, ,2181 , ,37756, ,41173, ,
20, 48, 112, 405kB, ,4665, ,2181 , ,43822, ,48007, ,
20, 48, 128, 453kB, ,4665, ,2181 , ,49871, ,54896, ,
20, 48, 144, 500kB, ,4665, ,2181 , ,55927, ,61848, ,
20, 64, 16, 156kB, ,4665, ,2903 , ,6278, ,6994, ,
20, 64, 17, 159kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 18, 163kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 19, 166kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 20, 170kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 21, 173kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 22, 177kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 23, 180kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 24, 184kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 25, 187kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 26, 191kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 27, 194kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 28, 198kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 29, 201kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 30, 205kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 31, 208kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 32, 212kB, ,4665, ,2903 , ,12639, ,13717, ,
20, 64, 48, 268kB, ,4665, ,2903 , ,18939, ,20554, ,
20, 64, 64, 325kB, ,4665, ,2903 , ,25235, ,27390, ,
20, 64, 80, 381kB, ,4665, ,2903 , ,31528, ,34229, ,
20, 64, 96, 437kB, ,4665, ,2903 , ,37756, ,41173, ,
20, 64, 112, 493kB, ,4665, ,2903 , ,43822, ,48007, ,
20, 80, 16, 190kB, ,4665, ,3611 , ,6278, ,6994, ,
20, 80, 17, 194kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 18, 198kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 19, 202kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 20, 206kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 21, 210kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 22, 214kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 23, 218kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 24, 222kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 25, 226kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 26, 231kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 27, 235kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 28, 239kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 29, 243kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 30, 247kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 31, 251kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 32, 255kB, ,4665, ,3611 , ,12639, ,13717, ,
20, 80, 48, 320kB, ,4665, ,3611 , ,18939, ,20554, ,
20, 80, 64, 386kB, ,4665, ,3611 , ,25235, ,27390, ,
20, 80, 80, 451kB, ,4665, ,3611 , ,31528, ,34229, ,
20, 96, 16, 224kB, ,4665, ,4312 , ,6278, ,6994, ,
20, 96, 17, 228kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 18, 233kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 19, 238kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 20, 242kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 21, 247kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 22, 252kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 23, 256kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 24, 261kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 25, 266kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 26, 270kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 27, 275kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 28, 279kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 29, 284kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 30, 289kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 31, 293kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 32, 298kB, ,4665, ,4312 , ,12639, ,13717, ,
20, 96, 48, 372kB, ,4665, ,4312 , ,18939, ,20554, ,
20, 96, 64, 447kB, ,4665, ,4312 , ,25235, ,27390, ,
20, 112, 16, 258kB, ,4665, ,5018 , ,6278, ,6994, ,
20, 112, 17, 263kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 18, 268kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 19, 273kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 20, 279kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 21, 284kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 22, 289kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 23, 294kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 24, 299kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 25, 305kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 26, 310kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 27, 315kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 28, 320kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 29, 325kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 30, 331kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 31, 336kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 32, 341kB, ,4665, ,5018 , ,12639, ,13717, ,
20, 112, 48, 424kB, ,4665, ,5018 , ,18939, ,20554, ,
20, 112, 64, 508kB, ,4665, ,5018 , ,25235, ,27390, ,
20, 128, 16, 292kB, ,4665, ,5731 , ,6278, ,6994, ,
20, 128, 17, 298kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 18, 303kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 19, 309kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 20, 315kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 21, 321kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 22, 326kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 23, 332kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 24, 338kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 25, 344kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 26, 349kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 27, 355kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 28, 361kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 29, 367kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 30, 372kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 31, 378kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 32, 384kB, ,4665, ,5731 , ,12639, ,13717, ,
20, 128, 48, 476kB, ,4665, ,5731 , ,18939, ,20554, ,
20, 144, 16, 326kB, ,4665, ,6390 , ,6278, ,6994, ,
20, 144, 17, 332kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 18, 338kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 19, 345kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 20, 351kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 21, 357kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 22, 364kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 23, 370kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 24, 376kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 25, 383kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 26, 389kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 27, 395kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 28, 402kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 29, 408kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 30, 414kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 31, 421kB, ,4665, ,6390 , ,12639, ,13717, ,
20, 144, 32, 427kB, ,4665, ,6390 , ,12639, ,13717, ,
21, 16, 16, 59kB, ,5177, ,679 , ,6278, ,6994, ,
21, 16, 17, 61kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 18, 63kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 19, 65kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 20, 67kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 21, 68kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 22, 70kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 23, 72kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 24, 74kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 25, 76kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 26, 78kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 27, 80kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 28, 82kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 29, 84kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 30, 86kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 31, 88kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 32, 90kB, ,5177, ,679 , ,12639, ,13717, ,
21, 16, 48, 122kB, ,5177, ,679 , ,18939, ,20554, ,
21, 16, 64, 153kB, ,5177, ,679 , ,25235, ,27390, ,
21, 16, 80, 185kB, ,5177, ,679 , ,31528, ,34229, ,
21, 16, 96, 216kB, ,5177, ,679 , ,37756, ,41173, ,
21, 16, 112, 248kB, ,5177, ,679 , ,43822, ,48007, ,
21, 16, 128, 280kB, ,5177, ,679 , ,49871, ,54896, ,
21, 16, 144, 311kB, ,5177, ,679 , ,55927, ,61848, ,
21, 17, 16, 61kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 17, 17, 63kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 18, 65kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 19, 67kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 20, 69kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 21, 71kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 22, 73kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 23, 75kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 24, 77kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 25, 79kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 26, 81kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 27, 83kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 28, 85kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 29, 87kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 30, 89kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 31, 91kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 32, 93kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 17, 48, 125kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 17, 64, 157kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 17, 80, 189kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 17, 96, 222kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 17, 112, 254kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 17, 128, 286kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 17, 144, 318kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 18, 16, 63kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 18, 17, 65kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 18, 67kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 19, 69kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 20, 71kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 21, 73kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 22, 75kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 23, 77kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 24, 80kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 25, 82kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 26, 84kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 27, 86kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 28, 88kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 29, 90kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 30, 92kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 31, 94kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 32, 96kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 18, 48, 129kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 18, 64, 161kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 18, 80, 194kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 18, 96, 227kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 18, 112, 259kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 18, 128, 292kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 18, 144, 325kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 19, 16, 65kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 19, 17, 68kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 18, 70kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 19, 72kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 20, 74kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 21, 76kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 22, 78kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 23, 80kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 24, 82kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 25, 84kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 26, 86kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 27, 88kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 28, 90kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 29, 92kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 30, 95kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 31, 97kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 32, 99kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 19, 48, 132kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 19, 64, 165kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 19, 80, 198kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 19, 96, 232kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 19, 112, 265kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 19, 128, 298kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 19, 144, 331kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 20, 16, 68kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 20, 17, 70kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 18, 72kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 19, 74kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 20, 76kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 21, 78kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 22, 80kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 23, 83kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 24, 85kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 25, 87kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 26, 89kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 27, 91kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 28, 93kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 29, 95kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 30, 97kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 31, 99kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 32, 102kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 20, 48, 135kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 20, 64, 169kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 20, 80, 203kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 20, 96, 237kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 20, 112, 271kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 20, 128, 304kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 20, 144, 338kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 21, 16, 70kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 21, 17, 72kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 18, 74kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 19, 76kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 20, 79kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 21, 81kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 22, 83kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 23, 85kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 24, 87kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 25, 89kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 26, 92kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 27, 94kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 28, 96kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 29, 98kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 30, 100kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 31, 102kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 32, 104kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 21, 48, 139kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 21, 64, 173kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 21, 80, 208kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 21, 96, 242kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 21, 112, 276kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 21, 128, 311kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 21, 144, 345kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 22, 16, 72kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 22, 17, 75kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 18, 77kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 19, 79kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 20, 81kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 21, 83kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 22, 85kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 23, 88kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 24, 90kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 25, 92kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 26, 94kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 27, 96kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 28, 99kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 29, 101kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 30, 103kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 31, 105kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 32, 107kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 22, 48, 142kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 22, 64, 177kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 22, 80, 212kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 22, 96, 247kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 22, 112, 282kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 22, 128, 317kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 22, 144, 352kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 23, 16, 75kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 23, 17, 77kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 18, 79kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 19, 81kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 20, 83kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 21, 86kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 22, 88kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 23, 90kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 24, 92kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 25, 95kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 26, 97kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 27, 99kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 28, 101kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 29, 103kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 30, 106kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 31, 108kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 32, 110kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 23, 48, 146kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 23, 64, 181kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 23, 80, 217kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 23, 96, 252kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 23, 112, 288kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 23, 128, 323kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 23, 144, 359kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 24, 16, 77kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 24, 17, 79kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 18, 81kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 19, 84kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 20, 86kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 21, 88kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 22, 90kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 23, 93kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 24, 95kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 25, 97kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 26, 99kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 27, 102kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 28, 104kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 29, 106kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 30, 108kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 31, 111kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 32, 113kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 24, 48, 149kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 24, 64, 185kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 24, 80, 221kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 24, 96, 257kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 24, 112, 293kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 24, 128, 329kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 24, 144, 365kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 25, 16, 79kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 25, 17, 81kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 18, 84kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 19, 86kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 20, 88kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 21, 91kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 22, 93kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 23, 95kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 24, 98kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 25, 100kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 26, 102kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 27, 104kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 28, 107kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 29, 109kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 30, 111kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 31, 114kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 32, 116kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 25, 48, 152kB, ,5177, ,1444 , ,18939, ,20554, ,
21, 25, 64, 189kB, ,5177, ,1444 , ,25235, ,27390, ,
21, 25, 80, 226kB, ,5177, ,1444 , ,31528, ,34229, ,
21, 25, 96, 262kB, ,5177, ,1444 , ,37756, ,41173, ,
21, 25, 112, 299kB, ,5177, ,1444 , ,43822, ,48007, ,
21, 25, 128, 336kB, ,5177, ,1444 , ,49871, ,54896, ,
21, 25, 144, 372kB, ,5177, ,1444 , ,55927, ,61848, ,
21, 26, 16, 81kB, ,5177, ,1444 , ,6278, ,6994, ,
21, 26, 17, 84kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 18, 86kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 19, 88kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 20, 91kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 21, 93kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 22, 95kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 23, 98kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 24, 100kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 25, 102kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 26, 105kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 27, 107kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 28, 109kB, ,5177, ,1444 , ,12639, ,13717, ,
21, 26, 29, 112kB, ,5177, ,1444 , ,12639, ,13717, ,
